# Event Log Opened on 2019-03-26T14:26:46.539206
# Event Detection
# bandwidth = 10000000.000000 MHz
# vlen      =    512
#  N      MJD          second  micro.sec    Peak       RMS
0001 58568.601965696864 52009 836209.030   4.108752   0.994458
0002 58568.601985408219 52011 539270.100   3.902310   0.996157
0003 58568.602024291009 52014 898743.178   3.951846   0.996466
0004 58568.602060568817 52018  33145.810   4.089274   1.000724
0005 58568.602072809677 52019  90756.122   3.980180   0.998683
0006 58568.602086674015 52020 288634.859   3.594060   0.997881
0007 58568.602087030893 52020 319469.157   3.630326   1.003976
0008 58568.602087475279 52020 357864.141   3.839134   1.004833
0009 58568.602087986976 52020 402074.698   3.937296   0.996134
0010 58568.602090218381 52020 594868.110   3.523707   1.001956
0011 58568.602090434142 52020 613509.882   3.785010   0.999189
0012 58568.602091821202 52020 733351.819   3.498007   0.999544
0013 58568.602093967347 52020 918778.796   3.402488   1.001543
0014 58568.602094251481 52020 943327.923   3.288560   0.995088
0015 58568.602094814873 52020 992004.988   3.621533   0.994925
0016 58568.602095470691 52021  48667.701   3.304468   1.000405
0017 58568.602095741167 52021  72036.866   3.370479   1.000993
0018 58568.602096295021 52021 119889.780   3.191068   0.992813
0019 58568.602096886629 52021 171004.721   3.333985   1.002465
0020 58568.602097038551 52021 184130.781   3.271514   1.001278
0021 58568.602097319133 52021 208373.131   3.213904   0.999052
0022 58568.602097649455 52021 236912.883   3.463750   0.997484
0023 58568.602097759191 52021 246394.073   3.424522   0.999617
0024 58568.602098284748 52021 291802.195   3.358882   0.999104
0025 58568.602098544550 52021 314249.141   3.101890   0.995458
0026 58568.602098882060 52021 343409.992   3.136026   0.996466
0027 58568.602099467185 52021 393964.812   3.172071   1.001917
0028 58568.602099507210 52021 397422.976   3.169661   1.001631
0029 58568.602099826610 52021 425019.135   3.180747   1.003637
0030 58568.602100078751 52021 446804.120   3.395825   0.995911
0031 58568.602100531374 52021 485910.728   3.630797   1.002096
0032 58568.602100814365 52021 510361.158   3.225582   0.991361
0033 58568.602101117300 52021 536534.699   3.127564   1.000637
0034 58568.602101337288 52021 555541.712   3.188298   0.996841
0035 58568.602101674063 52021 584639.070   3.302638   1.002101
0036 58568.602101914395 52021 605403.768   3.515694   0.998088
0037 58568.602102191137 52021 629314.194   3.111684   1.004009
0038 58568.602102374847 52021 645186.795   3.060709   0.998890
0039 58568.602102653655 52021 669275.756   3.357605   0.997682
0040 58568.602102979974 52021 697469.754   3.018902   0.998695
0041 58568.602103214580 52021 717739.711   3.032569   0.996616
0042 58568.602103510129 52021 743275.179   3.039209   1.003370
0043 58568.602103853009 52021 772899.968   3.035495   0.996973
0044 58568.602104016565 52021 787031.228   3.133151   0.998217
0045 58568.602104406586 52021 820728.993   3.587147   1.004462
